"epoch","lcls_nih_improved-2 - _step","lcls_nih_improved-2 - _step__MIN","lcls_nih_improved-2 - _step__MAX","lcls_nih_improved-2 - epoch/AUROC@Multilabel","lcls_nih_improved-2 - epoch/AUROC@Multilabel__MIN","lcls_nih_improved-2 - epoch/AUROC@Multilabel__MAX"
"0","33.5","0","67","0.5149717750474038","0.5022747706283223","0.5753601789474487"
"1","121.5","88","155","0.5169381130377528","0.5099094130180695","0.5525895953178406"
"2","209.5","176","243","0.5138122254914688","0.4947808639305394","0.518970976707158"
"3","297.5","264","331","0.5261377125316827","0.5003235936164856","0.5412155860854734"
"4","385.5","352","419","0.5238659962349107","0.44233274459838867","0.5288664564198139"
"5","473.5","440","507","0.5281277912791617","0.5182361237464412","0.6035540699958801"
"6","561.5","528","595","0.5275380092655788","0.5209075793987368","0.5312214618847694"
"7","649.5","616","683","0.523590888630162","0.48616907000541687","0.5319321992851439"
"8","737.5","704","771","0.5275294590135507","0.5231866234657812","0.5472780520265753"
"9","825.5","792","859","0.5273116399336994","0.48508021235466003","0.5413251735947349"
"10","913.5","880","947","0.5318774694853451","0.49267464876174927","0.5344721365789449"
"11","1001.5","968","1035","0.5309151143666629","0.5268745544991291","0.5529443621635437"
"12","1085.5","1056","1115","0.5320930625411479","0.48636260628700256","0.539801542359497"
