"Step","repr_nih_baseline - epoch/loss","repr_nih_baseline - epoch/loss__MIN","repr_nih_baseline - epoch/loss__MAX"
"0","-0.0007301863515749574","-0.0007301863515749574","-0.0007301863515749574"
"1","-0.0011767577909102495","-0.0011767577909102495","-0.0011767577909102495"
"2","-0.003840125370992436","-0.003840125370992436","-0.003840125370992436"
"3","-0.008082627307533497","-0.008082627307533497","-0.008082627307533497"
"4","-0.011155918504611203","-0.011155918504611203","-0.011155918504611203"
"5","-0.01575903360065365","-0.01575903360065365","-0.01575903360065365"
"6","-0.020583802920033333","-0.020583802920033333","-0.020583802920033333"
"7","-0.025589436392667114","-0.025589436392667114","-0.025589436392667114"
"8","-0.03122580474110343","-0.03122580474110343","-0.03122580474110343"
"9","-0.03553669158353951","-0.03553669158353951","-0.03553669158353951"
"10","-0.040454466777650806","-0.040454466777650806","-0.040454466777650806"
"11","-0.044842670861472214","-0.044842670861472214","-0.044842670861472214"
"12","-0.04905454078323616","-0.04905454078323616","-0.04905454078323616"
"13","-0.0535789771078382","-0.0535789771078382","-0.0535789771078382"
"14","-0.05779447831652715","-0.05779447831652715","-0.05779447831652715"
"15","-0.06262371681448664","-0.06262371681448664","-0.06262371681448664"
"16","-0.06770452613846879","-0.06770452613846879","-0.06770452613846879"
"17","-0.07328056162618078","-0.07328056162618078","-0.07328056162618078"
"18","-0.0787562420623871","-0.0787562420623871","-0.0787562420623871"
"19","-0.08255392228952897","-0.08255392228952897","-0.08255392228952897"
"20","-0.08748340993871755","-0.08748340993871755","-0.08748340993871755"
"21","-0.09237832694162143","-0.09237832694162143","-0.09237832694162143"
"22","-0.09824843173562149","-0.09824843173562149","-0.09824843173562149"
"23","-0.10393354498118049","-0.10393354498118049","-0.10393354498118049"
"24","-0.1084748729276065","-0.1084748729276065","-0.1084748729276065"
"25","-0.11395347950863188","-0.11395347950863188","-0.11395347950863188"
"26","-0.11941958331436961","-0.11941958331436961","-0.11941958331436961"
"27","-0.12424944936275496","-0.12424944936275496","-0.12424944936275496"
"28","-0.12965166644198203","-0.12965166644198203","-0.12965166644198203"
"29","-0.13493332590570167","-0.13493332590570167","-0.13493332590570167"
"30","-0.14017912340652122","-0.14017912340652122","-0.14017912340652122"
"31","-0.1451955318463655","-0.1451955318463655","-0.1451955318463655"
"32","-0.14995614489042883","-0.14995614489042883","-0.14995614489042883"
"33","-0.15475227664544156","-0.15475227664544156","-0.15475227664544156"
"34","-0.16028716365903714","-0.16028716365903714","-0.16028716365903714"
"35","-0.16434923944592827","-0.16434923944592827","-0.16434923944592827"
"36","-0.16991288304603672","-0.16991288304603672","-0.16991288304603672"
"37","-0.1734849845634703","-0.1734849845634703","-0.1734849845634703"
"38","-0.1777863224514264","-0.1777863224514264","-0.1777863224514264"
"39","-0.1825825251591847","-0.1825825251591847","-0.1825825251591847"
"40","-0.18638538449283856","-0.18638538449283856","-0.18638538449283856"
"41","-0.1901696452413801","-0.1901696452413801","-0.1901696452413801"
"42","-0.19478149550072096","-0.19478149550072096","-0.19478149550072096"
"43","-0.1978043187185452","-0.1978043187185452","-0.1978043187185452"
"44","-0.20141791845349777","-0.20141791845349777","-0.20141791845349777"
"45","-0.20448874317841634","-0.20448874317841634","-0.20448874317841634"
"46","-0.2079956582022645","-0.2079956582022645","-0.2079956582022645"
"47","-0.211836591591582","-0.211836591591582","-0.211836591591582"
"48","-0.21502606208961875","-0.21502606208961875","-0.21502606208961875"
"49","-0.21794618682033912","-0.21794618682033912","-0.21794618682033912"
"50","-0.22041091418749803","-0.22041091418749803","-0.22041091418749803"
"51","-0.22268079971341478","-0.22268079971341478","-0.22268079971341478"
"52","-0.22583128549735063","-0.22583128549735063","-0.22583128549735063"
"53","-0.2289470993256435","-0.2289470993256435","-0.2289470993256435"
"54","-0.23180379500193435","-0.23180379500193435","-0.23180379500193435"
"55","-0.2342425573495945","-0.2342425573495945","-0.2342425573495945"
"56","-0.2369185964007897","-0.2369185964007897","-0.2369185964007897"
"57","-0.23918724039772563","-0.23918724039772563","-0.23918724039772563"
"58","-0.2411975374121921","-0.2411975374121921","-0.2411975374121921"
"59","-0.2438753472474465","-0.2438753472474465","-0.2438753472474465"
"60","-0.24623974297949563","-0.24623974297949563","-0.24623974297949563"
"61","-0.24812088965849094","-0.24812088965849094","-0.24812088965849094"
"62","-0.2503806307318361","-0.2503806307318361","-0.2503806307318361"
"63","-0.2523133470693444","-0.2523133470693444","-0.2523133470693444"
"64","-0.2540615678304667","-0.2540615678304667","-0.2540615678304667"
"65","-0.25650638807082143","-0.25650638807082143","-0.25650638807082143"
"66","-0.25797244805491104","-0.25797244805491104","-0.25797244805491104"
"67","-0.2602843723342103","-0.2602843723342103","-0.2602843723342103"
"68","-0.2628806565832497","-0.2628806565832497","-0.2628806565832497"
"69","-0.265473961123392","-0.265473961123392","-0.265473961123392"
"70","-0.26778401834534854","-0.26778401834534854","-0.26778401834534854"
"71","-0.26952357603248167","-0.26952357603248167","-0.26952357603248167"
"72","-0.27176343615992893","-0.27176343615992893","-0.27176343615992893"
"73","-0.2742525721384498","-0.2742525721384498","-0.2742525721384498"
"74","-0.27605101726047426","-0.27605101726047426","-0.27605101726047426"
"75","-0.277834921504356","-0.277834921504356","-0.277834921504356"
"76","-0.27940812768092144","-0.27940812768092144","-0.27940812768092144"
"77","-0.28093321637317525","-0.28093321637317525","-0.28093321637317525"
"78","-0.28267976090687036","-0.28267976090687036","-0.28267976090687036"
"79","-0.2845778644466702","-0.2845778644466702","-0.2845778644466702"
"80","-0.28639086692570154","-0.28639086692570154","-0.28639086692570154"
"81","-0.28781620500756844","-0.28781620500756844","-0.28781620500756844"
"82","-0.28932058827933965","-0.28932058827933965","-0.28932058827933965"
"83","-0.2911920026612942","-0.2911920026612942","-0.2911920026612942"
"84","-0.2924589161290737","-0.2924589161290737","-0.2924589161290737"
"85","-0.29410027314623716","-0.29410027314623716","-0.29410027314623716"
"86","-0.2955644024309132","-0.2955644024309132","-0.2955644024309132"
"87","-0.2969867941779357","-0.2969867941779357","-0.2969867941779357"
"88","-0.2985183980764407","-0.2985183980764407","-0.2985183980764407"
"89","-0.29957853605896007","-0.29957853605896007","-0.29957853605896007"
"90","-0.30085747820864245","-0.30085747820864245","-0.30085747820864245"
"91","-0.30212083817487756","-0.30212083817487756","-0.30212083817487756"
"92","-0.30280876957675407","-0.30280876957675407","-0.30280876957675407"
"93","-0.30424125377695493","-0.30424125377695493","-0.30424125377695493"
"94","-0.3058594724834688","-0.3058594724834688","-0.3058594724834688"
"95","-0.3075643322386727","-0.3075643322386727","-0.3075643322386727"
"96","-0.3088207779706356","-0.3088207779706356","-0.3088207779706356"
"97","-0.30977121203042945","-0.30977121203042945","-0.30977121203042945"
"98","-0.31079378580139566","-0.31079378580139566","-0.31079378580139566"
"99","-0.31202735265777526","-0.31202735265777526","-0.31202735265777526"
"100","-0.313237021216303","-0.313237021216303","-0.313237021216303"
"101","-0.31444614753092553","-0.31444614753092553","-0.31444614753092553"
"102","-0.31573861728257696","-0.31573861728257696","-0.31573861728257696"
"103","-0.31687264468497844","-0.31687264468497844","-0.31687264468497844"
"104","-0.3183764309639569","-0.3183764309639569","-0.3183764309639569"
"105","-0.31966802414356477","-0.31966802414356477","-0.31966802414356477"
"106","-0.3210534614794576","-0.3210534614794576","-0.3210534614794576"
"107","-0.32227431800110784","-0.32227431800110784","-0.32227431800110784"
"108","-0.32349857411191824","-0.32349857411191824","-0.32349857411191824"
"109","-0.32437442586230975","-0.32437442586230975","-0.32437442586230975"
"110","-0.3256283211370602","-0.3256283211370602","-0.3256283211370602"
"111","-0.32677621695807774","-0.32677621695807774","-0.32677621695807774"
"112","-0.32755624833523006","-0.32755624833523006","-0.32755624833523006"
"113","-0.3288130836111924","-0.3288130836111924","-0.3288130836111924"
"114","-0.3295720164529615","-0.3295720164529615","-0.3295720164529615"
"115","-0.3302299427715123","-0.3302299427715123","-0.3302299427715123"
"116","-0.3311501537108935","-0.3311501537108935","-0.3311501537108935"
"117","-0.332021657243569","-0.332021657243569","-0.332021657243569"
"118","-0.33291781319876634","-0.33291781319876634","-0.33291781319876634"
"119","-0.33411059314300995","-0.33411059314300995","-0.33411059314300995"
"120","-0.3348023723730458","-0.3348023723730458","-0.3348023723730458"
"121","-0.3360497679598483","-0.3360497679598483","-0.3360497679598483"
"122","-0.33666590227427784","-0.33666590227427784","-0.33666590227427784"
